spectral_rolloff,zero_crossing_rate,spectral_bandwidth,spectral_centroid,spectral_contrast,mfcc,chroma,popularity
6090.876654,0.065083283,3177.375681,2875.361098,21.75263257,2.825468779,0.475541055,7
6102.500127,0.052595019,3602.513214,2877.97206,22.22524466,0.057425536,0.383563116,96
3524.501095,0.045635365,2777.82366,2024.103235,21.72921163,-3.567728758,0.340536103,99
2690.507088,0.032555172,1904.120898,1462.211788,22.22834009,-0.726210296,0.393204987,11
4965.372155,0.055188789,3024.222592,2531.834137,21.86504053,-1.893729746,0.418110967,97
6753.294405,0.055843415,3987.727191,3163.132569,22.02391108,2.656403922,0.46152319,92
4399.836795,0.040117381,2908.82673,2179.164657,24.36652637,-9.013446808,0.290773064,91
4884.077878,0.04981067,2838.390279,2476.228841,21.16881538,3.172189832,0.556987554,99
6454.457699,0.050600331,3564.46209,2927.999916,21.67423624,-0.665062964,0.489344195,97
5894.951415,0.047294183,3422.815634,2714.933707,22.55953883,-0.14365907,0.404014662,99
6554.700131,0.055282676,3665.912477,3035.233007,20.6180959,-1.338132024,0.465489551,98
4591.62815,0.046529366,3093.077255,2399.862739,21.30872746,-1.922359705,0.364663035,92
3351.38048,0.043193829,2196.026655,1818.528149,22.86627017,-12.40935326,0.274791777,4
4008.516345,0.042,2550.740045,2048.951766,20.60136252,1.872383237,0.48594217,98
5701.386459,0.050224402,3084.119591,2588.541435,23.08102525,-2.588992119,0.473184556,7
1917.431941,0.025770777,2167.622597,1241.726705,21.62834628,1.43450439,0.637107611,12
4487.454411,0.043454292,2737.971167,2267.336389,21.0927007,1.99179548,0.416494012,91
5870.131006,0.049272105,3440.031572,2698.590577,21.77848372,-3.27324152,0.468839765,8
5362.151046,0.046031448,2978.556763,2485.540567,21.77630912,-0.42845118,0.486512586,96
4385.445788,0.034782203,2959.365898,2171.762206,21.65122943,-0.304237261,0.459960595,94
4621.442628,0.035848978,2972.933825,2154.319928,22.35704422,-4.570949554,0.326951236,91
7253.25339,0.064310241,3737.23012,3424.211802,21.76775074,1.806088865,0.52396518,99
6930.839306,0.062890116,3838.241068,3318.757004,21.3859824,0.630043313,0.502100974,95
7822.207743,0.07147884,3785.590827,3631.696702,21.50632944,4.849564552,0.463846087,3
5606.277045,0.050268198,3203.716785,2691.963407,21.18556565,0.635126054,0.517158568,91
4595.864091,0.037305814,2972.881858,2199.012991,21.14706956,4.521201134,0.484650522,11
